Movie title,Release year,Ratings,User count,Director,Language,IMDB link
Unforgiven,(1992),8.2,"361,358",Clint Eastwood,English ,https://www.imdb.com/title/tt0105695/
Some Like It Hot,(1959),8.2,"234,462",Billy Wilder,See more ,https://www.imdb.com/title/tt0053291/
Ran,(1985),8.2,"106,439",Akira Kurosawa,See more ,https://www.imdb.com/title/tt0089881/
Hauru no ugoku shiro,(2004),8.2,"309,357",Hayao Miyazaki,Japanese ,https://www.imdb.com/title/tt0347149/
The Great Escape,(1963),8.2,"216,410",John Sturges,See more ,https://www.imdb.com/title/tt0057115/
All About Eve,(1950),8.2,"115,782",Joseph L. Mankiewicz,English French ,https://www.imdb.com/title/tt0042192/
A Beautiful Mind,(2001),8.2,"816,875",Ron Howard,English ,https://www.imdb.com/title/tt0268978/
Casino,(1995),8.2,"443,861",Martin Scorsese,English ,https://www.imdb.com/title/tt0112641/
Pan's Labyrinth,(2006),8.2,"600,012",Guillermo del Toro,Spanish ,https://www.imdb.com/title/tt0457430/
El secreto de sus ojos,(2009),8.2,"184,506",Juan José Campanella,Spanish ,https://www.imdb.com/title/tt1305806/
Tonari no Totoro,(1988),8.2,"269,621",Hayao Miyazaki,Japanese ,https://www.imdb.com/title/tt0096283/
The Wolf of Wall Street,(2013),8.2,"1,117,161",Martin Scorsese,English French ,https://www.imdb.com/title/tt0993846/
"Lock, Stock and Two Smoking Barrels",(1998),8.2,"518,160",Guy Ritchie,English ,https://www.imdb.com/title/tt0120735/
Raging Bull,(1980),8.2,"308,960",Martin Scorsese,See more ,https://www.imdb.com/title/tt0081398/
The Treasure of the Sierra Madre,(1948),8.1,"109,572",John Huston,See more ,https://www.imdb.com/title/tt0040897/
Judgment at Nuremberg,(1961),8.1,"66,098",Stanley Kramer,See more ,https://www.imdb.com/title/tt0055031/
There Will Be Blood,(2007),8.1,"494,409",Paul Thomas Anderson,English American Sign Language ,https://www.imdb.com/title/tt0469494/
